,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
accessibility,0.09038447290939206,0.019455703807040724,0.017326248169163595,0.02752834009100314,-0.004504896349856287,0.0015366002757212353
accessible,-0.0015019227777681035,-0.016307137042844703,0.0008390893011536016,0.0015096660788923599,0.0015961372002535877,9.344814244306551e-05
accessory,-0.014559748920101118,0.022169596427239868,-0.016880153922487904,0.004636558323969196,0.0006504549407507355,-0.0007978640821484543
accuracy,0.004695646714381668,-0.028037911368847517,0.004572613926556076,0.0033966542377944875,0.0022227270432671,0.0003438468861802678
accurate,0.07747756908045277,0.024132528823159874,0.016865847705176275,0.02016511290205069,-0.005052632036664639,0.0013363823731155778
adaptability,0.11209838514047242,-0.04401085089134971,0.012284352826068004,0.056400027702670295,0.0035543382809633908,0.0020008796122723254
adaptable,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
adapter,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
adequate,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
aesthetic,0.0050503461814058416,0.025436304854282367,-0.004310842667083584,0.0020689919269817362,-0.0018937811910008282,-0.0002001818503283991
affordability,0.006803314123696516,-0.07687692555272425,-0.0037464755251113476,0.022184776223810272,0.009122084103050165,0.0003877548966236001
affordable,0.0051859258699792216,-0.03789680241360535,0.00406746071962918,0.006061316256752019,0.0033934764877124,0.0003880629796181671
ai,0.047421403676055074,-0.05900001871066364,0.015466064951521266,0.021479091479990147,0.003939740947094002,0.0013653765383292557
ai assistant,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
airdrop,-0.00721550673039888,0.09392465674486342,-0.06821212259249138,0.0455633998302693,0.0026670520054739733,-0.0026012878162870318
algorithm,0.04639029401639149,0.002295619369455293,0.017549570836226023,0.007039978326730725,-0.0031188006265967265,0.0010846214227327794
algorithms,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
aluminum,-0.045870923810151766,0.0347487905617862,-0.053719224418826726,0.02191006914757219,0.005960863426794774,-0.0023410535823071596
amoled,-0.04987665838043195,-0.08554579703186947,-0.07382587747581923,0.0628776891775032,0.02279098714803447,-0.002336733115693697
android,0.036243490692686404,-0.03660088467451782,0.016392186492433753,0.010250990818333078,0.00122251443601128,0.001132425350052464
android device,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
android interface,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
android operating system,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
animation,0.0029193468740886254,-0.004022877089714727,0.00248261160478221,-0.00011791992386721158,-5.23851978827121e-06,0.00013117619889333604
annoying,0.030056471733790883,0.021067306597259562,0.009271013663215772,0.002863423068176323,-0.003747927666295762,0.0005358325899974905
aperture,-0.03086788474911967,-0.013218866302339611,0.01184887322784101,-0.025726248634304952,-0.0011164057505042046,3.315813915477807e-05
app,0.06205448949815923,-0.01022456075589005,-0.1234322259591354,-0.18804071289497348,-0.012146756164348611,0.0003631572798932244
appealing,0.0005869281216981368,0.019128520071226954,-0.004667029862451714,0.00124639614030605,-0.001185620898123583,-0.00023265940745946636
appearance,-0.032299856678947386,-0.04503833834546454,-0.029794252982254493,0.02088133878094144,0.010219008700847772,-0.001038936097920628
approachable,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
apps,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
aspirational,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
assistant,0.10786128158555125,-0.09134976166274192,0.005250412954358556,0.07022589770340783,0.009984577651889811,0.001995118140242624
attractive,0.013051722773901956,-0.03342679277570812,0.008640356595029298,0.004886173054384965,0.0021188715005779853,0.0005970422478260101
audio,-0.004563425368508563,0.005959246503916175,-0.004176172596837598,0.0005403824843325368,9.993561277541073e-05,-0.0002119736263061371
authentication,-0.006682020997543295,-7.059064474835815e-05,-0.004408459332769056,0.0007981102499299063,0.00077757626610142,-0.00021294776041516514
autofocus,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
automation,0.04011772439227279,-0.07405190140908854,0.011162382934975262,0.024730030771245286,0.006317457146168779,0.001228174630812263
autonomous,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
backup,0.07185936314463909,-0.030065315120473314,0.01963764197819147,0.024863662328626305,0.00024927056412326156,0.0016386223524843572
backups,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
bad,-0.010552748201770532,0.013138656580313303,-0.010475912901339538,0.0021841200572533287,0.0004559931299509489,-0.0005108174674113426
banking,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
battery,-0.00979422352609473,-0.010998908578714637,-0.005616295494417797,0.0027615851519604967,-0.007506341207337715,-0.00047249051354519367
battery capacity,-0.04124797908455019,0.014938339359144865,-0.040014644149803325,0.014637783592968684,0.0055583662970845275,-0.001773657428869651
battery drain,-0.02051720720858707,-0.02970596966142825,-0.014524706617789686,0.009117642294691381,0.005775879178646713,-0.0005245884401086312
battery life,-0.01881645672874444,-0.019581624057132724,-0.012393250035653678,0.005965530336123226,0.004289586507358984,-0.0004949623848213735
beautiful,-0.021652641383256684,0.046248341363572164,0.0015127949132490086,-0.022022917050960888,-0.005520550122529655,-0.00047487246540363435
bendable,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
bezel,0.05160089414037621,-0.022766085209466404,0.019488453953461594,0.012746591123181357,-0.0007146768526736304,0.001341455426094776
biased,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
biometric,-0.02578164740062853,0.008074025170167441,-0.022025707920750492,0.006436863197683229,0.0030453201131403216,-0.0010140126949097171
bionic chip,-0.026263370856455626,0.005677536299301323,0.013535730212623671,-0.028573960068967473,-0.003441903186042232,3.8949469722718786e-05
bixby,-0.026497969781495642,-0.08013392196251723,-0.03645478815965592,0.03735589124610164,0.0153485789057436,-0.0009737939294201298
bland,-0.003337221651538088,-0.03684484706455974,-0.0012679282959854675,0.006574105096005629,0.004206784939842902,0.00011877352356739817
bloat,-0.03278158013477444,-0.04743482721633065,0.00576718515111966,-0.014129484485709243,0.0037317854016652163,1.4026066711807886e-05
bloatware,0.0024331085565342746,-0.02037192752484033,0.003390393054926984,0.0018761305334480374,0.0015924481225538449,0.0002395838809066619
bluetooth,0.021768275627565496,0.02436758686863235,0.004864766813845093,0.0021483584118742517,-0.0033525135690145843,0.0002847441832816122
bokeh,-0.03899808522176153,-0.007028620613475688,-0.0333359291333702,0.013467112486490386,0.0066986592792751525,-0.0014310683125710545
boring,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
bright,0.03532091192583236,-0.016712688234336123,0.016772014966176585,0.005544202165184478,-0.0010173686007893712,0.0010252568447985766
brightness,-0.0022568982628519306,-0.031003034642247705,4.707145197704119e-05,0.0047240549834084156,0.003334019336775636,0.00013961137866325517
browser,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
browsing,0.01986791728448111,-0.039277971401396175,0.011094848771037676,0.007237146396657374,0.0023558770462650943,0.0007859871145570694
buggy,0.00562778931752993,-0.07521775078089465,-0.003985843157162996,0.021471789403615903,0.008975772557276787,0.00035708953047067097
build,-0.009326239078058159,0.013955498552145193,-0.009805743236729824,0.0020202269876213133,0.00025236724013530566,-0.00048013633242085434
build quality,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
bulkier,-0.03251993938208234,-0.02714443367554369,0.009785190311855997,-0.021881935049094636,0.0007701202735889404,2.654679439678093e-05
bulky,-0.0035988624042302027,-0.057135240605346714,-0.005285933456721796,0.014326555659391014,0.007168450067919178,0.0001062527958824252
button,0.03587915469635962,-0.04288329545509326,0.015699518763265946,0.011953469889043588,0.00203217441032364,0.0011412230492136603
cable,0.0006694530112999581,0.01794408288290582,-0.004196103411650903,0.0010527511826110797,-0.0011455315019788964,-0.00021141291740526047
calendar,0.30517911600859027,-0.11499634063532932,-0.28130092348869906,-0.16462881967967619,0.0009821972642359354,0.001919287577192536
calibration,0.04550718032927034,-0.05768601556133581,0.044111894075693624,-0.008166928264224615,-0.0016531470520176781,0.0021770443044018366
camera,0.014902471366155448,-0.026627170707237004,0.009854875670460289,0.003363756437227719,0.0011687958705411613,0.0006194247962067793
camera app,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
camera capability,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
camera hardware,-0.03899808522176153,-0.007028620613475688,-0.0333359291333702,0.013467112486490386,0.0066986592792751525,-0.0014310683125710545
cameras,-0.03981687512419977,-0.05605187797465756,-0.04295580118974107,0.032010542587640106,0.013835766122995431,-0.0014610682173300583
capacity,-0.02302409028846427,-0.017411180630503294,-0.016246838995832277,0.007107969892008594,0.0047431253435416655,-0.0006726481035149728
capacity loss rate,-0.026263370856455626,0.005677536299301323,0.013535730212623671,-0.028573960068967473,-0.003441903186042232,3.8949469722718786e-05
card slot,-0.02051720720858707,-0.02970596966142825,-0.014524706617789686,0.009117642294691381,0.005775879178646713,-0.0005245884401086312
casing,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
cellular,0.0006694530112999581,0.01794408288290582,-0.004196103411650903,0.0010527511826110797,-0.0011455315019788964,-0.00021141291740526047
censorship,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
ceramic,-0.02051720720858707,-0.02970596966142825,-0.014524706617789686,0.009117642294691381,0.005775879178646713,-0.0005245884401086312
charge,0.003562685362220643,-0.0030041661958909254,0.0027143179516056362,-0.00019909170151360505,-0.00015339737036880008,0.0001405751396909633
charge level,-0.026263370856455626,0.005677536299301323,0.013535730212623671,-0.028573960068967473,-0.003441903186042232,3.8949469722718786e-05
charger,-0.001791699838732792,0.010925701873729876,-0.0035925855396301454,0.0004899167207759922,-0.0005224424002101744,-0.00018677962420108016
charging,-0.015839762591130273,-0.031829863864807476,-0.017199900207367416,0.023266102694798424,-0.24695938493935415,-0.0069244339531883345
chat,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
cheap,-0.022844330799388697,-0.015941038286117846,-0.016088970955074864,0.00676440044060778,0.0045553907139919796,-0.0006736481516370327
chic,-0.03278158013477444,-0.04743482721633065,0.00576718515111966,-0.014129484485709243,0.0037317854016652163,1.4026066711807886e-05
chip,-0.011166413939207824,0.029632588877871235,-0.02620399048479058,0.021132626008375725,-0.2016973043126422,-0.006195828418362032
chipset,-0.02510660524217143,-0.023442814686637104,-0.018440175373568703,0.009327321183219642,0.005793140241935433,-0.0007308498569582763
chromecast,0.11615462604547347,0.04064960377158193,0.040227838142969596,0.014572477349602207,-0.010893282300370071,0.002419075084300982
clarity,0.04189490356173899,-0.00391472623303828,0.048435079369765745,-0.024755815757996014,-0.008345086804242065,0.0019702686667818436
clock,-0.019178198448544043,0.0007117524977096291,-0.014417815485454401,0.003862113424592993,0.002467141446086578,-0.000668017286106857
cloud,0.275737742688682,-0.06958451850886688,-0.23354604659297962,-0.15549963696819732,-0.004558563723451628,0.001970692884642633
clunky,-0.05317137492742309,-0.03814834145674829,0.017271514037711287,-0.038240219416664584,0.00034128066330272564,4.736001335676978e-05
clutter,0.009617575416902781,-0.04203259482170359,0.0060242877558979125,0.007296306370583842,0.0035151109017843465,0.0005233084135437628
cluttered,-0.014132433744000838,-0.018664757757683708,-0.008381005056608107,0.004325774492122983,0.0034755560847186118,-0.0003232242095337424
coating,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
collaboration,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
collaborative,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
color,-0.020351140071760268,-0.007022725452607028,-0.014338928042837644,0.00464729945788332,0.003280145224738941,-0.0006388469420310183
color option,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
colorful,-0.04270495950346044,-0.06059141883172769,-0.04886781622257379,0.037192808518814374,0.015420948304979823,-0.0016467594235359995
comfort,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
comfortable,0.0407477588353661,-0.046766272113851794,0.04534682133256688,-0.014046786779945588,-0.003119548902420848,0.0020951611821228362
compact,-0.0032272984597460945,0.030499033397993106,-0.012019725050329857,0.004290077009407963,-0.0010633742567761817,-0.0005577568294958502
compatibility,0.011484824027972823,-0.0021185592611157626,0.006863039750406943,-0.00023260386949461984,-0.0009579528074594377,0.0003570287666688996
compatible,0.0526601523935805,-0.025640430694429693,-0.24238708907324222,-0.31925669313148947,-0.014652805781080762,-0.0009105149454294104
complexity,-0.021662756062801422,-0.023245990319148164,-0.015106222819654203,0.007833507117745461,0.005173633812238779,-0.0005907226009442125
complicated,-0.005067041866632416,-0.012220248046098501,-0.0017733349989816692,0.0013977062466972146,0.0016126671472775822,-4.9973921756980155e-05
computer,0.016989545816883618,0.10568555514759358,-0.061965592950756786,0.05008107477556705,0.00044499089803637354,-0.002177699482541313
confusing,-0.05690752025604086,-0.023185157788258748,-0.013737316385762905,-0.012422060104917265,0.0045596330222384485,-0.0009919526797061672
connection,0.03399650980427737,0.11127887850067965,-0.055811248666596376,0.05202212331643308,-0.0011611745643193066,-0.0018138063359373683
connectivity,-0.03508882251905211,-0.04232433942492907,-0.03240117946591494,0.02144470524217675,0.010391176567149671,-0.001165108989398403
connector,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
consistency,0.007778181815281504,0.024548353901077388,-0.0023296962295196104,0.0017403205062522145,-0.0021461099424104884,-0.00010298828812291403
consistent,0.008533935897872977,0.02275836989184833,-0.0011999970974465052,0.0013719210100905912,-0.002158553175574199,-5.0683752751424875e-05
console,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
contrast,-0.02931247897216922,-0.013668291268831267,-0.022501005113564662,0.009209173658446854,0.005460606691192912,-0.0009554416960651005
convenience,0.06054442374736829,-0.022247475135869103,0.020077334885948806,0.016856402575477606,-0.0007943555727450709,0.0014679437610111512
convenient,0.02333106864803456,0.06375648166065877,-0.01611288487483345,0.016161398806827144,-0.003635100643346744,-0.000524307623060802
conversational,0.04189490356173899,-0.00391472623303828,0.048435079369765745,-0.024755815757996014,-0.008345086804242065,0.0019702686667818436
cores,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
cost,-0.0049055690798860225,0.011093315618866298,-0.005749426980963179,0.0009246350830239198,-0.00016242223184636465,-0.00029010581043408765
costly,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
coverage,-0.02799997945118426,-0.01972384606779735,-0.021183490819409505,0.009775944702891136,0.0058810533112103975,-0.0008677382653081045
cpu,-0.004169592521348931,-0.01914827350951606,-0.0008684407150324724,0.002318935145486768,0.0022019540625566984,2.508087631271916e-05
cpu performance,-0.02051720720858707,-0.02970596966142825,-0.014524706617789686,0.009117642294691381,0.005775879178646713,-0.0005245884401086312
craftsmanship,0.005900716687878353,0.10630900908426331,-0.0718656342038772,0.05382169818396837,0.0021449659150313163,-0.0026110837130881148
crash,-0.013125202500182634,-0.03587901142026418,-0.008680595676456088,0.008482696816209407,0.005410818542755426,-0.00022699397486464296
credibility,0.04189490356173899,-0.00391472623303828,0.048435079369765745,-0.024755815757996014,-0.008345086804242065,0.0019702686667818436
crisp,-0.005067041866632416,-0.012220248046098501,-0.0017733349989816692,0.0013977062466972146,0.0016126671472775822,-4.9973921756980155e-05
cuda,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
customer support,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
customizability,0.0742621216436529,-0.06594227835619333,0.015051297320400307,0.0376133056384742,0.005036832772859593,0.0017264292384171762
customizable,0.016915779523452055,-0.028285674797019936,0.01067860486781016,0.0039469287721658015,0.0012125057380141474,0.0006777638107073106
customization,0.0043512536213435645,-0.012194163774079479,0.004186284541603572,0.0005385513464813631,0.0005728210433283977,0.00024309492421800157
customization option,-0.010404835207763691,-0.0064625410395163325,-0.006192295972555383,0.0018023893798959011,0.0017728698978511364,-0.0002777006122089167
customizeable,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
cybersecurity,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
decent,0.006485332198675884,-0.02640448142963578,0.005648601008762238,0.0029752021680047014,0.0018590783630072839,0.0003891307688470274
defective,-0.03086788474911967,-0.013218866302339611,0.01184887322784101,-0.025726248634304952,-0.0011164057505042046,3.315813915477807e-05
dependable,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
design,-0.014877173035983154,0.0211401872162884,-0.016723695128940643,0.004510073969627088,0.0007293939308991971,-0.0007917071795018108
design flaw,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
designs,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
desirable,0.009191117982218285,0.0639576791744048,0.008722452986105864,-0.016048585137970285,-0.008505376042944143,2.8206587303230134e-05
desktop,0.030187451864968084,-0.12954278151853965,-0.36025632087203385,-0.3086494902490155,0.0064416123738448025,-0.003056762247742555
detection,0.08445172337248924,-0.03449682113697125,0.018269257286486682,0.0338219656842406,0.001114018974528121,0.0017797876615466954
device ecosystem,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
difficult,-0.013692326300088218,0.029590058598440147,-0.0195095747379781,0.006273890339716836,0.00035211228396514504,-0.000904202519668124
disappointing,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
disjointed,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
display,-0.03210143778062587,-0.04148115605168058,-0.03116375675693492,0.026208207900754853,-0.12431684844933608,-0.004484289461502443
displays,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
dissatisfaction,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
downtime,-0.006484395942997426,0.01478617855913618,-0.007989901194078478,0.0015848408850852047,-0.00015404240257855246,-0.00039560705356084903
durability,-0.018050621147568953,0.015957795075696536,-0.017448685977257142,0.004526927778035769,0.0013980567108739478,-0.0008249299158687392
durable,-0.01382916312025204,0.009318559338347583,-0.011921257090771626,0.002596353077620424,0.0011123515977595607,-0.0005738350979952465
dust,0.0029193468740886463,-0.004022877089714719,0.0024826116047822165,-0.0001179199238672089,-5.23851978827322e-06,0.00013117619889333647
earbud,-7.831089169896722e-05,0.03339393175753489,-0.011277980710471829,0.004684758992283864,-0.0014871593894333944,-0.0005120642636549037
easy,0.07505391425033629,0.021404681297858302,-0.1359237089691833,-0.19022464481065865,-0.014746646548432687,0.0001297121465769964
ecological,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
ecosystem,0.05112525526364077,0.04091466941216108,-0.11973515179945063,-0.1403917202626617,-0.01127516493207322,-0.0005530697829271646
ecosystem integration,-0.02704209732025423,0.02988245551581943,-0.03143671622746938,0.010874041984509038,0.0024500540756568078,-0.001423742138993209
effective,-0.014750919663001452,-0.022886611458791856,-0.008951224094742694,0.005373333783042885,0.0040358281662032655,-0.000325070276176368
effectiveness,-0.05317137492742309,-0.03814834145674829,0.017271514037711287,-0.038240219416664584,0.00034128066330272564,4.736001335676978e-05
efficiency,-0.010409400085888596,0.03827894229068468,-0.02153849892285289,0.008366420458512224,-0.00017392783212728674,-0.0009694511411672552
efficient,0.003427110334560943,0.019392708407883784,-0.0029753201476988853,0.0010423132943642173,-0.0015070211977405161,-0.0001487606709166656
effortless,0.017241881603380037,0.07258634450215533,0.006689558625834685,-0.01138534322681265,-0.008977070939470491,2.2845487557548702e-05
elegance,0.03154561583107227,0.09470175722300005,-0.03891808143018017,0.03717765403052858,-0.002589017235049533,-0.0012585185143512397
elegant,0.01198725039633526,0.028348658182510266,-0.001530190522149687,0.0024712755053257047,-0.0026686615414222253,-4.718883373475959e-05
email,0.026399852982019367,-0.013311010091706172,0.01411338292283933,0.002739831354783474,-0.0009705617198871086,0.0008171123750809649
encryption,0.035653777680171306,0.040109393085278784,0.003999137100649415,0.007410590603116004,-0.004760035403357306,0.00034856124783475017
endurance,-0.006682020997543295,-7.059064474835815e-05,-0.004408459332769056,0.0007981102499299063,0.00077757626610142,-0.00021294776041516514
engine,0.1158175914578939,0.010491252533780474,0.01475653821601514,0.04543220260735369,-0.0027936124230688183,0.0018274993401392243
enjoyable,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
entertainment,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
ergonomic,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
ergonomics,0.00291934687408864,-0.004022877089714717,0.0024826116047822052,-0.00011791992386720108,-5.238519788271304e-06,0.000131176198893336
erratic,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
exclusivity,-0.04027151947940792,0.07332489132206473,-0.07764120524160668,0.04115881662280173,0.006364597128726444,-0.0031818274113909703
expandability,-0.02866516776263332,-0.08358635366620473,-0.0035513174139200905,0.004277542020738347,0.00946329955554194,-1.4449817639278047e-05
expandable,-0.02864574990428884,-0.05605112722366919,-0.03471297899611634,0.04095011460627552,-0.315939748082047,-0.009355624119143804
expensive,-0.011613157028074101,0.005285725748807751,-0.00916389016673665,0.0018313433987545487,0.0010491574559326855,-0.00044332686176800517
experience,0.03395621944810888,0.01763622172192874,-0.09591261302055154,-0.1257772489836073,-0.008804957899677904,-0.0003350202940628349
exynos chip,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
exynos chipset,-0.02051720720858707,-0.02970596966142825,-0.014524706617789686,0.009117642294691381,0.005775879178646713,-0.0005245884401086312
exynos processor,-0.07100452303551312,0.020657548199352505,-0.07978337332284481,0.036968781884343264,0.012184209391373024,-0.0033467337050901392
face id,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
facetime,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
familiar,0.002643206573452583,-0.0018886349315737152,0.0019981438794259483,-0.00019783537152333843,-0.000147767723006678,0.00010200762425771601
fan,-0.00016621404259883516,0.03848691752094921,-0.014065606244485348,0.006415725990600248,-0.0015122988475360878,-0.0006225170039788963
fashionable,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
fast,-0.0006084485339596074,0.00418123759439192,-0.007159565352006895,0.01145858702102703,-0.1615999728246695,-0.004337173643981838
fastest,0.0158741439425295,-0.009210624846858568,0.009774827656665592,0.0006042813507109968,-0.0006969125578468278,0.0005357110888697008
faulty,-0.05317137492742309,-0.03814834145674829,0.017271514037711287,-0.038240219416664584,0.00034128066330272564,4.736001335676978e-05
fingerprint,-0.015589468330502522,-0.0012467459642920796,-0.011038384021347252,0.0028166481414967064,0.0020743910462647417,-0.0005131651775673148
finicky,-0.013307974536581465,-0.040519972326538825,-0.009541690758990974,0.010132645848144092,0.006076034105313449,-0.00022969235686699202
finish,-0.012081043065194232,0.03595546774341946,0.013031916219173852,-0.02631481835150215,-0.006492918294491168,3.907097085050856e-05
